"DateTime";"Stock Price History"
"1999-09-22 00:00:00";0,0416
"1999-09-23 00:00:00";0,0381
"1999-09-24 00:00:00";0,0347
"1999-09-27 00:00:00";0,0368
"1999-09-28 00:00:00";0,0402
"1999-09-29 00:00:00";0,0369
"1999-09-30 00:00:00";0,0368
"1999-10-01 00:00:00";0,0366
"1999-10-04 00:00:00";0,0373
"1999-10-05 00:00:00";0,0409
"1999-10-06 00:00:00";0,0458
"1999-10-07 00:00:00";0,0428
"1999-10-08 00:00:00";0,045
"1999-10-11 00:00:00";0,0438
"1999-10-12 00:00:00";0,0432
"1999-10-13 00:00:00";0,042
"1999-10-14 00:00:00";0,0411
"1999-10-15 00:00:00";0,0409
"1999-10-18 00:00:00";0,0387
"1999-10-19 00:00:00";0,0372
"1999-10-20 00:00:00";0,0385
"1999-10-21 00:00:00";0,0403
"1999-10-22 00:00:00";0,0412
"1999-10-25 00:00:00";0,0392
"1999-10-26 00:00:00";0,043
"1999-10-27 00:00:00";0,0411
"1999-10-28 00:00:00";0,0392
"1999-10-29 00:00:00";0,0423
"1999-11-01 00:00:00";0,045
"1999-11-02 00:00:00";0,0478
"1999-11-03 00:00:00";0,0525
"1999-11-04 00:00:00";0,0558
"1999-11-05 00:00:00";0,054
"1999-11-08 00:00:00";0,0556
"1999-11-09 00:00:00";0,0548
"1999-11-10 00:00:00";0,0543
"1999-11-11 00:00:00";0,0581
"1999-11-12 00:00:00";0,0612
"1999-11-15 00:00:00";0,06
"1999-11-16 00:00:00";0,0658
"1999-11-17 00:00:00";0,0683
"1999-11-18 00:00:00";0,0685
"1999-11-19 00:00:00";0,082
"1999-11-22 00:00:00";0,0819
"1999-11-23 00:00:00";0,076
"1999-11-24 00:00:00";0,0736
"1999-11-26 00:00:00";0,0732
"1999-11-29 00:00:00";0,0705
"1999-11-30 00:00:00";0,0662
"1999-12-01 00:00:00";0,0696
"1999-12-02 00:00:00";0,0747
"1999-12-03 00:00:00";0,0729
"1999-12-06 00:00:00";0,075
"1999-12-07 00:00:00";0,0725
"1999-12-08 00:00:00";0,0757
"1999-12-09 00:00:00";0,0734
"1999-12-10 00:00:00";0,0726
"1999-12-13 00:00:00";0,0723
"1999-12-14 00:00:00";0,0711
"1999-12-15 00:00:00";0,0689
"1999-12-16 00:00:00";0,0684
"1999-12-17 00:00:00";0,072
"1999-12-20 00:00:00";0,078
"1999-12-21 00:00:00";0,0813
"1999-12-22 00:00:00";0,0832
"1999-12-23 00:00:00";0,0887
"1999-12-27 00:00:00";0,0854
"1999-12-28 00:00:00";0,0851
"1999-12-29 00:00:00";0,088
"1999-12-30 00:00:00";0,0887
"1999-12-31 00:00:00";0,0898
"2000-01-03 00:00:00";0,0895
"2000-01-04 00:00:00";0,0872
"2000-01-05 00:00:00";0,0845
"2000-01-06 00:00:00";0,0788
"2000-01-07 00:00:00";0,0801
"2000-01-10 00:00:00";0,0827
"2000-01-11 00:00:00";0,0794
"2000-01-12 00:00:00";0,0774
"2000-01-13 00:00:00";0,0806
"2000-01-14 00:00:00";0,0841
"2000-01-18 00:00:00";0,0876
"2000-01-19 00:00:00";0,0868
"2000-01-20 00:00:00";0,0866
"2000-01-21 00:00:00";0,0856
"2000-01-24 00:00:00";0,0818
"2000-01-25 00:00:00";0,0811
"2000-01-26 00:00:00";0,0777
"2000-01-27 00:00:00";0,0736
"2000-01-28 00:00:00";0,0715
"2000-01-31 00:00:00";0,0709
"2000-02-01 00:00:00";0,0726
"2000-02-02 00:00:00";0,0746
"2000-02-03 00:00:00";0,0758
"2000-02-04 00:00:00";0,0776
"2000-02-07 00:00:00";0,0728
"2000-02-08 00:00:00";0,0763
"2000-02-09 00:00:00";0,0782
"2000-02-10 00:00:00";0,0942
"2000-02-11 00:00:00";0,0956
"2000-02-14 00:00:00";0,111
"2000-02-15 00:00:00";0,1066
"2000-02-16 00:00:00";0,1115
"2000-02-17 00:00:00";0,1155
"2000-02-18 00:00:00";0,1289
"2000-02-22 00:00:00";0,1253
"2000-02-23 00:00:00";0,126
"2000-02-24 00:00:00";0,1248
"2000-02-25 00:00:00";0,1171
"2000-02-28 00:00:00";0,1162
"2000-02-29 00:00:00";0,1224
"2000-03-01 00:00:00";0,1189
"2000-03-02 00:00:00";0,1108
"2000-03-03 00:00:00";0,1126
"2000-03-06 00:00:00";0,1119
"2000-03-07 00:00:00";0,1594
"2000-03-08 00:00:00";0,1607
"2000-03-09 00:00:00";0,1919
"2000-03-10 00:00:00";0,2257
"2000-03-13 00:00:00";0,2856
"2000-03-14 00:00:00";0,2106
"2000-03-15 00:00:00";0,202
"2000-03-16 00:00:00";0,1801
"2000-03-17 00:00:00";0,1911
"2000-03-20 00:00:00";0,1909
"2000-03-21 00:00:00";0,1815
"2000-03-22 00:00:00";0,1828
"2000-03-23 00:00:00";0,186
"2000-03-24 00:00:00";0,1783
"2000-03-27 00:00:00";0,1665
"2000-03-28 00:00:00";0,1541
"2000-03-29 00:00:00";0,1439
"2000-03-30 00:00:00";0,1431
"2000-03-31 00:00:00";0,1616
"2000-04-03 00:00:00";0,149
"2000-04-04 00:00:00";0,1435
"2000-04-05 00:00:00";0,1754
"2000-04-06 00:00:00";0,1835
"2000-04-07 00:00:00";0,1963
"2000-04-10 00:00:00";0,1789
"2000-04-11 00:00:00";0,1682
"2000-04-12 00:00:00";0,1508
"2000-04-13 00:00:00";0,1443
"2000-04-14 00:00:00";0,1316
"2000-04-17 00:00:00";0,1383
"2000-04-18 00:00:00";0,1628
"2000-04-19 00:00:00";0,1551
"2000-04-20 00:00:00";0,1542
"2000-04-24 00:00:00";0,1466
"2000-04-25 00:00:00";0,1626
"2000-04-26 00:00:00";0,1609
"2000-04-27 00:00:00";0,1741
"2000-04-28 00:00:00";0,1705
"2000-05-01 00:00:00";0,176
"2000-05-02 00:00:00";0,1692
"2000-05-03 00:00:00";0,1664
"2000-05-04 00:00:00";0,1685
"2000-05-05 00:00:00";0,1762
"2000-05-08 00:00:00";0,1698
"2000-05-09 00:00:00";0,1674
"2000-05-10 00:00:00";0,1509
"2000-05-11 00:00:00";0,1573
"2000-05-12 00:00:00";0,1526
"2000-05-15 00:00:00";0,1631
"2000-05-16 00:00:00";0,1798
"2000-05-17 00:00:00";0,2114
"2000-05-18 00:00:00";0,197
"2000-05-19 00:00:00";0,1953
